group_name,discipline_code_suggested,discipline_title,source_sheets,check_ok,review_comment
МЦ-20-1,MET-008,Материаловедение,2021-2022 уч.год,,
МЦ-20-1,MET-024,Методы исследования физико-химических систем [выбранные дисциплины] 18+14 чел.,2021-2022 уч.год,,
МЦ-20-2,MET-008,Материаловедение,2021-2022 уч.год,,
МЦ-20-2,MET-024,Методы исследования физико-химических систем [выбранные дисциплины] 18+14 чел.,2021-2022 уч.год,,
МЦ-21-1,MET-001,Гидрометаллургические процессы и аппараты,2024-2025 уч.год,,
МЦ-21-1,MET-006,Коррозия и защита металлов [выбранные дисциплины] 26 чел.,2024-2025 уч.год,,
МЦ-21-1,MET-008,Материаловедение,2022-2023 весна|2022-2023 уч.год,,
МЦ-21-1,MET-012,Металлургическая теплотехника и основы печных технологий,2023-2024 уч.год,,
МЦ-21-1,MET-014,Металлургические технологии производства и обработки металлов,2023-2024 уч.год,,
МЦ-21-1,MET-015,Металлургия благородных металлов,2024-2025 уч.год,,
МЦ-21-1,MET-017,Металлургия лёгких металлов,2023-2024 уч.год,,
МЦ-21-1,MET-018,Металлургия редких металлов,2024-2025 уч.год,,
МЦ-21-1,MET-022,Металлургия тяжёлых цветных металлов,2023-2024 уч.год,,
МЦ-21-1,MET-023,Методы исследования физико-химических систем,2022-2023 весна,,
МЦ-21-1,MET-026,Методы контроля и анализа веществ,2024-2025 уч.год,,
МЦ-21-1,MET-036,Переработка шлаков и медных шламов [выбранные дисциплины] 26 чел.,2024-2025 уч.год,,
МЦ-21-1,MET-048,Теория гидрометаллургических процессов,2023-2024 уч.год,,
МЦ-21-1,MET-050,Теория пирометаллургических процессов,2023-2024 уч.год,,
МЦ-21-1,MET-051,Теория электрометаллургических процессов,2023-2024 уч.год,,
МЦ-21-1,MET-055,Утилизация и использование отходов переработки минерального сырья,2024-2025 уч.год,,
МЦ-21-2,MET-001,Гидрометаллургические процессы и аппараты,2024-2025 уч.год,,
МЦ-21-2,MET-006,Коррозия и защита металлов [выбранные дисциплины] 26 чел.,2024-2025 уч.год,,
МЦ-21-2,MET-008,Материаловедение,2022-2023 весна|2022-2023 уч.год,,
МЦ-21-2,MET-012,Металлургическая теплотехника и основы печных технологий,2023-2024 уч.год,,
