faculty_code,group_name,student_count_suggested,course_suggested,source_sheets,check_ok,review_comment
ФПМС,НГД-21-13,24,2,2022-2023 уч.год,,
ФПМС,НГД-21-2,28,2,2022-2023 уч.год,,
ФПМС,НГД-21-3,28,2,2022-2023 уч.год,,
ФПМС,НГД-21-4,27,2,2022-2023 уч.год,,
ФПМС,НГД-21-5,29,2,2022-2023 уч.год,,
ФПМС,НГД-21-6,26,2,2022-2023 уч.год,,
ФПМС,НГД-21-7,26,2,2022-2023 уч.год,,
ФПМС,НГД-21-8,24,2,2022-2023 уч.год,,
ФПМС,НГД-21-9,23,2,2022-2023 уч.год,,
ФПМС,НГС-20-1,21,2,2021-2022 уч.год,,
ФПМС,НГС-20-2,21,2,2021-2022 уч.год,,
ФПМС,НГС-21-1,24,2,2022-2023 весна,,
ФПМС,НГС-21-2,24,2,2022-2023 весна,,
ФПМС,НГС-22-1,19,2,2023-2024 уч.год,,
ФПМС,НГС-22-2,19,2,2023-2024 уч.год,,
ФПМС,НГС-23-1,25,1,2023-2024 уч.год,,
ФПМС,НГС-23-2,25,1,2023-2024 уч.год,,
ФПМС,НГС-23-3,25,1,2023-2024 уч.год,,
ФПМС,НГС-23-4,25,1,2023-2024 уч.год,,
ФПМС,НГШ-21-1,24,2,2022-2023 весна,,
ФПМС,НГШ-21-2,24,2,2022-2023 весна,,
ФПМС,НГШ-22-1,19,2,2023-2024 уч.год,,
ФПМС,НГШ-22-2,19,2,2023-2024 уч.год,,
ФПМС,НД-21-1,26,2,2022-2023 весна,,
ФПМС,НД-21-2,26,2,2022-2023 весна,,
ФПМС,НД-22-1,24,2,2023-2024 уч.год,,
ФПМС,НД-22-2,24,2,2023-2024 уч.год,,
ФПМС,НД-23,20,1,2023-2024 уч.год (новая),,
ФПМС,НДМ-21,15,1,2021-2022 уч.год,,
ФПМС,НДМ-22,10,1,2022-2023 уч.год,,
ФПМС,НДМ-23,10,1,2023-2024 уч.год,,
ФПМС,НРМ-21,15,1,2021-2022 уч.год,,
ФПМС,НРМ-22,18,1,2022-2023 уч.год,,
ФПМС,НРМ-23-1,20,1,2023-2024 уч.год,,
ФПМС,НРМ-23-2,20,1,2023-2024 уч.год,,
ФПМС,НТМ-21,15,1,2021-2022 уч.год,,
ФПМС,НТМ-22,15,1,2022-2023 уч.год,,
ФПМС,НТМ-23,15,1,2023-2024 уч.год,,
ФПМС,НТС-23-1,20,1,2023-2024 уч.год,,
ФПМС,НТС-23-2,20,1,2023-2024 уч.год,,
ФПМС,НЭМ-21,15,1,2021-2022 уч.год,,
ФПМС,НЭМ-22,17,1,2022-2023 уч.год,,
ФПМС,ОНГ-23,30,1,2023-2024 уч.год,,
