training_center_number,room_number,room_name,laboratory_studlab_id,laboratory_name,faculty_code,faculty_title,department_hint,purpose,source_url,notes
2,3501,"Учебная лаборатория ""Электрические аппараты""",23,Учебная лаборатория кафедры электроэнергетики и электромеханики,ЭФ,Энергетический факультет,электроэнергетики и электромеханики,"ознакомление с устройством, характеристиками и принципами функционирования электрических аппаратов; создание и исследование силовых цепей и цепей управления электрических аппаратов при использовании различных электроизмерительных приборов.",https://studlab.spmi.ru/23,draft from studlab
2,3506,"Учебная лаборатория ""Электрические машины""",23,Учебная лаборатория кафедры электроэнергетики и электромеханики,ЭФ,Энергетический факультет,электроэнергетики и электромеханики,"ознакомление с устройством, характеристиками и принципами функционирования основных типов электрических машин; создание и испытание силовых цепей и цепей управления электрических машин при использовании различных электроизмерительных приборов и аппаратов.",https://studlab.spmi.ru/23,draft from studlab
2,3508,"Учебная лаборатория ""Электропривод""",23,Учебная лаборатория кафедры электроэнергетики и электромеханики,ЭФ,Энергетический факультет,электроэнергетики и электромеханики,"ознакомление с устройством и характеристиками электротехнических, электромеханических и электронных аппаратов и приборов систем электропривода; создание и исследование реальных и виртуальных моделей систем электропривода при использовании приборов и аппаратов для сбора, обработки и визуализации результатов измерений; анализ полученных результатов и принятие решений по возможным воздействиям на электропривод.",https://studlab.spmi.ru/23,draft from studlab
2,3606,"Учебная лаборатория ""Электроавтоматика""",23,Учебная лаборатория кафедры электроэнергетики и электромеханики,ЭФ,Энергетический факультет,электроэнергетики и электромеханики,"ознакомление с устройством, характеристиками и принципами функционирования систем автоматизации и элементов; создание и исследование цепей из элементов систем автоматизации при использовании различных электроизмерительных приборов и аппаратов.",https://studlab.spmi.ru/23,draft from studlab
2,3608,"Учебная лаборатория ""Энергоэффективность""",23,Учебная лаборатория кафедры электроэнергетики и электромеханики,ЭФ,Энергетический факультет,электроэнергетики и электромеханики,"ознакомление с устройством, характеристиками и принципами функционирования современных энергоэффективных средств, систем электроснабжения и электропривода; создание энергоэффективных средств, систем электроснабжения и электропривода; испытание энергоэффективных средств, систем электроснабжения и электропривода при использовании различных методов и средств, направленных на повышение энергоэффективности.",https://studlab.spmi.ru/23,draft from studlab
2,1332,Учебная лаборатория теплотехники и теплоэнергетики,22,Учебная лаборатория кафедры теплотехники и теплоэнергетики,ЭФ,Энергетический факультет,теплотехники и теплоэнергетики,изучение современного пластинчатого теплообменника; определение удельной теплоёмкости воздуха при постоянном давлении; проверка температурной шкалы Кельвина; определение отношения теплоёмкостей воздуха; изучение теплообмена при различных режимах кипения жидкости; изучение дроссель-эффекта при дросселировании воздуха; изучение теплообмена излучением; исследование теплоотдачи при пузырьковом кипении жидкости.,https://studlab.spmi.ru/22,draft from studlab
3,904,Лаборатория литологии и микропалеонтологии,10,Учебная лаборатория кафедры исторической и динамической геологии,ГРФ,Геологоразведочный факультет,исторической и динамической геологии,просмотр и макроскопическое определение образцов различных типов осадочных пород; просмотр и микроскопическое определение различных типов осадочных пород; составление литологических профилей и литологических колонок для различных типов осадочных пород; составление палеогеографических схем для различных типов фаций.,https://studlab.spmi.ru/10,draft from studlab
3,905,Лаборатория литологии и микропалеонтологии,10,Учебная лаборатория кафедры исторической и динамической геологии,ГРФ,Геологоразведочный факультет,исторической и динамической геологии,просмотр и макроскопическое определение образцов различных типов осадочных пород; просмотр и микроскопическое определение различных типов осадочных пород; составление литологических профилей и литологических колонок для различных типов осадочных пород; составление палеогеографических схем для различных типов фаций.,https://studlab.spmi.ru/10,draft from studlab
3,1004,Лаборатория исторической геологии и палеонтологии,10,Учебная лаборатория кафедры исторической и динамической геологии,ГРФ,Геологоразведочный факультет,исторической и динамической геологии,работа с геологическими и тектоническими картами; изучение эталонных и рабочих коллекций основных групп ископаемых беспозвоночных животных; изучение и описание образцов коллекций осадочных горных пород.,https://studlab.spmi.ru/10,draft from studlab
3,1005,"Лаборатория региональной, структурной геологии и геотектоники",10,Учебная лаборатория кафедры исторической и динамической геологии,ГРФ,Геологоразведочный факультет,исторической и динамической геологии,"работа с геологическими и тектоническими картами; изучение геологического строения регионов; составление тематических карт: геологических, тектонических, карт полезных ископаемых и других.",https://studlab.spmi.ru/10,draft from studlab
